episode,global_step,episode_reward,episode_length,epsilon,avg_loss
1,15,10.66262762255096,15,0.99905,nan
2,20,3.7923133856000804,5,0.9987333333333334,nan
3,31,7.247622427068472,11,0.9980366666666667,nan
4,52,16.72052286904551,21,0.9967066666666666,nan
5,56,2.7240449697457008,4,0.9964533333333333,nan
6,76,14.293669243127948,20,0.9951866666666667,nan
7,101,21.1126883307189,25,0.9936033333333333,nan
8,104,1.9583725634928275,3,0.9934133333333334,nan
9,106,1.1211282096181674,2,0.9932866666666667,nan
10,110,2.3974713947814035,4,0.9930333333333333,nan
11,122,8.846051347521843,12,0.9922733333333333,nan
12,152,21.172990793996696,30,0.9903733333333333,nan
13,165,8.298917860335173,13,0.98955,nan
14,170,3.364987613054878,5,0.9892333333333333,nan
15,184,10.307853642702831,14,0.9883466666666667,nan
16,200,13.630560831130426,16,0.9873333333333333,nan
17,222,16.33265742713588,22,0.98594,nan
18,226,2.6012803155940354,4,0.9856866666666667,nan
19,254,19.455486024553498,28,0.9839133333333333,nan
20,263,6.589181828100355,9,0.9833433333333333,nan
21,293,25.05868369420012,30,0.9814433333333333,nan
22,298,3.200102027666586,5,0.9811266666666667,nan
23,303,3.365349881197241,5,0.98081,nan
24,312,5.778521496794639,9,0.98024,nan
25,327,11.622197667780974,15,0.97929,nan
26,337,6.854827782544842,10,0.9786566666666666,nan
27,345,5.3275079854920175,8,0.97815,nan
28,361,10.637570955919974,16,0.9771366666666667,nan
29,363,0.9660165442504834,2,0.97701,nan
30,372,7.405242620317542,9,0.97644,nan
31,399,18.09775728290616,27,0.97473,nan
32,407,5.880891102035128,8,0.9742233333333333,nan
33,412,3.367190022601448,5,0.9739066666666667,nan
34,416,2.7591154181621453,4,0.9736533333333334,nan
35,446,25.797473963010923,30,0.9717533333333334,nan
36,469,17.314301718619745,23,0.9702966666666667,nan
37,491,20.713272352372954,22,0.9689033333333333,nan
38,507,12.617340904981754,16,0.96789,nan
39,520,8.93882816792862,13,0.9670666666666666,nan
40,525,3.5584270840175805,5,0.96675,nan
41,537,8.649981296627349,12,0.96599,nan
42,539,0.9893852557928039,2,0.9658633333333333,nan
43,569,24.09824518462863,30,0.9639633333333333,nan
44,599,22.561744974358348,30,0.9620633333333334,nan
45,603,2.9592167598122607,4,0.96181,nan
46,611,5.373069180550537,8,0.9613033333333333,nan
47,629,13.718791669088699,18,0.9601633333333334,nan
48,656,19.21045199670525,27,0.9584533333333334,nan
49,659,1.4807360421533566,3,0.9582633333333334,nan
50,664,3.9590471683324666,5,0.9579466666666667,nan
51,670,4.756112614600217,6,0.9575666666666667,nan
52,673,1.9583725634928275,3,0.9573766666666667,nan
53,675,0.9660165442504834,2,0.95725,nan
54,705,21.177489252679326,30,0.95535,nan
55,729,17.22274656239629,24,0.95383,nan
56,738,7.6508774420147185,9,0.95326,nan
57,742,2.7591154181621453,4,0.9530066666666667,nan
58,772,22.13297783710811,30,0.9511066666666667,nan
59,776,2.5660591737676812,4,0.9508533333333333,nan
60,788,11.048574981941897,12,0.9500933333333333,nan
61,817,20.908390356701894,29,0.9482566666666666,nan
62,820,1.9974614042085133,3,0.9480666666666666,nan
63,832,8.100116586566271,12,0.9473066666666666,nan
64,843,8.555812850970764,11,0.94661,nan
65,847,2.9205734152135783,4,0.9463566666666666,nan
66,853,3.851157156964646,6,0.9459766666666667,nan
67,876,18.052560711373488,23,0.94452,nan
68,891,10.24088122112094,15,0.94357,nan
69,920,19.732603153037775,29,0.9417333333333333,nan
70,924,2.5178639268266405,4,0.94148,nan
71,936,10.000404881727519,12,0.94072,nan
72,941,3.200465013710966,5,0.9404033333333334,nan
73,946,3.555800892602484,5,0.9400866666666666,nan
74,949,1.7649228101313175,3,0.9398966666666667,nan
75,973,16.39624195516075,24,0.9383766666666666,nan
76,985,8.289128335058999,12,0.9376166666666667,nan
77,988,1.9602091714909529,3,0.9374266666666666,nan
78,1011,16.198064785878575,23,0.93597,nan
79,1025,10.434292783588354,14,0.9350833333333334,nan
80,1029,2.761345535127316,4,0.93483,nan
81,1040,8.360334873239147,11,0.9341333333333334,nan
82,1050,7.3968634251400625,10,0.9335,nan
83,1058,6.5613149430610385,8,0.9329933333333333,nan
84,1069,8.36303507735624,11,0.9322966666666667,nan
85,1076,4.52260171814956,7,0.9318533333333333,nan
86,1094,12.466478248035692,18,0.9307133333333333,nan
87,1102,6.9571666396087695,8,0.9302066666666666,nan
88,1107,3.601110724114241,5,0.92989,nan
89,1120,10.016142539599937,13,0.9290666666666667,nan
90,1125,3.2023098115942545,5,0.92875,nan
91,1155,22.51244216207422,30,0.92685,nan
92,1176,15.438262550547023,21,0.92552,nan
93,1183,5.207488956980534,7,0.9250766666666667,nan
94,1209,18.431228137490574,26,0.92343,nan
95,1223,12.953733040992065,14,0.9225433333333334,nan
96,1235,7.698845564065862,12,0.9217833333333334,nan
97,1238,1.3636363636363635,3,0.9215933333333334,nan
98,1241,1.7649228101313175,3,0.9214033333333334,nan
99,1251,6.887630243471192,10,0.92077,nan
100,1254,1.6000371704030871,3,0.92058,nan
101,1278,19.479574952844935,24,0.91906,nan
102,1293,11.971572783016008,15,0.91811,nan
103,1309,13.085769893531468,16,0.9170966666666667,nan
104,1318,5.825108478462585,9,0.9165266666666667,nan
