episode,global_step,episode_reward,episode_length
1,7,4.893508434295654,7
2,11,2.4528316259384155,4
3,23,9.645195603370667,12
4,32,6.4680562019348145,9
5,42,6.0832133293151855,10
6,48,4.1729393899440765,6
7,54,4.959018170833588,6
8,65,8.570164024829865,11
9,72,4.010651797056198,7
10,76,2.166059195995331,4
11,87,8.21636039018631,11
12,102,10.164388880133629,15
13,109,5.084209322929382,7
14,118,7.957171320915222,9
15,123,2.645567238330841,5
16,133,6.645998775959015,10
17,163,23.02055513858795,30
18,180,12.810869336128235,17
19,194,10.051793292164803,14
20,213,13.210521191358566,19
21,215,0.6831046566367149,2
22,219,1.9985654056072235,4
23,228,6.401267945766449,9
24,231,1.219372808933258,3
25,240,6.324768781661987,9
26,246,4.357670426368713,6
27,253,5.4468192756175995,7
28,262,7.752751052379608,9
29,266,2.1647727489471436,4
30,272,4.157407492399216,6
31,280,5.088715136051178,8
32,283,1.2000542283058167,3
33,318,24.748974353075027,35
34,345,18.08926823735237,27
35,372,17.789104133844376,27
36,378,3.5310651659965515,6
37,396,12.023835703730583,18
38,426,21.26769667863846,30
39,439,9.284351646900177,13
40,446,3.969088301062584,7
41,473,19.643702447414398,27
42,480,5.130727767944336,7
43,562,59.62945646047592,82
44,601,26.434705138206482,39
45,604,1.79549041390419,3
46,618,9.269544869661331,14
47,626,4.970275014638901,8
48,638,9.716040059924126,12
49,640,0.16601654887199402,2
50,648,5.520707607269287,8
51,659,7.381144464015961,11
52,679,16.83551722764969,20
53,698,12.449012726545334,19
54,708,7.950483083724976,10
55,714,4.046495750546455,6
56,726,8.262957334518433,12
57,730,2.555789351463318,4
58,744,11.361620455980301,14
59,747,1.9602091312408447,3
60,762,10.405654907226562,15
61,776,10.682463467121124,14
62,784,5.164187133312225,8
63,788,1.9967428743839264,4
64,825,28.521711722016335,37
65,828,1.2217620611190796,3
66,881,37.195425033569336,53
67,893,8.454297542572021,12
68,905,9.868302524089813,12
69,915,8.60828810930252,10
70,919,1.807036131620407,4
71,932,8.711698830127716,13
72,961,22.033771812915802,29
73,994,25.35224860906601,33
74,997,1.364922821521759,3
75,1003,3.3461382687091827,6
76,1015,8.176056787371635,12
77,1048,22.70584687590599,33
78,1051,1.5748625695705414,3
79,1064,8.962609440088272,13
80,1072,5.7076733112335205,8
81,1122,37.71147131919861,50
82,1132,6.442353963851929,10
83,1176,33.152408182621,44
84,1185,6.5616485476493835,9
85,1188,0.8778668642044067,3
86,1193,2.907162845134735,5
87,1196,1.2477467358112335,3
88,1208,8.461812302470207,12
89,1238,23.727228939533234,30
90,1242,1.8506180942058563,4
91,1256,9.227339267730713,14
92,1266,6.281166434288025,10
