episode,global_step,episode_reward,episode_length,epsilon,avg_loss,crashed,train_density
52,1103,23.226746024326477,30,0.895215,nan,0,0.6
53,1133,25.44130274947748,30,0.892365,nan,1,0.6
54,1163,22.62767596216468,30,0.8895150000000001,nan,0,0.6
55,1193,25.297395345566674,30,0.886665,nan,0,0.6
56,1223,22.627096756107953,30,0.883815,nan,0,0.6
57,1241,15.446538874391475,18,0.882105,nan,1,0.6
58,1252,8.922041078380653,11,0.88106,nan,1,0.6
59,1264,8.487144016404851,12,0.87992,nan,1,0.6
60,1279,11.50642060179644,15,0.878495,nan,1,0.6
61,1287,5.998272411970519,8,0.877735,nan,1,0.6
62,1298,8.995370595615658,11,0.87669,nan,1,0.6
63,1304,4.165705041962056,6,0.87612,nan,1,0.6
64,1314,7.120611186574529,10,0.87517,nan,1,0.6
65,1324,7.996853780311674,10,0.87422,nan,1,0.6
66,1348,17.545033924349543,24,0.8719399999999999,nan,1,0.6
67,1357,6.295742470228001,9,0.871085,nan,1,0.6
68,1376,16.79158699145094,19,0.86928,nan,1,0.6
69,1400,21.081337492968647,24,0.867,nan,1,0.6
70,1430,24.735242617677063,30,0.86415,nan,0,0.6
71,1454,21.83757086176603,24,0.86187,nan,1,0.6
72,1463,6.394493357657313,9,0.861015,nan,1,0.6
73,1493,27.07419303206211,30,0.8581650000000001,nan,0,0.6
74,1508,10.447879343654169,15,0.8567400000000001,nan,1,0.6
75,1523,10.180920248435145,15,0.855315,nan,1,0.6
76,1553,22.399662459224174,30,0.852465,nan,0,0.6
77,1583,21.48982713096648,30,0.849615,nan,0,0.6
78,1613,23.625659423307027,30,0.846765,nan,0,0.6
79,1631,17.071111487454765,18,0.845055,nan,1,0.6
80,1649,14.124784399895752,18,0.843345,nan,1,0.6
81,1679,23.033255163884444,30,0.840495,nan,0,0.6
82,1709,24.045932303848726,30,0.837645,nan,0,0.6
83,1739,25.00841404300949,30,0.834795,nan,0,0.6
84,1764,20.330936325199104,25,0.8324199999999999,nan,1,0.6
85,1775,7.726280725737238,11,0.831375,nan,1,0.6
86,1804,22.689059544666215,29,0.82862,nan,1,0.6
87,1809,3.758507393455113,5,0.828145,nan,1,0.6
88,1839,25.61079264539289,30,0.825295,nan,0,0.6
89,1869,21.928468186508187,30,0.822445,nan,0,0.6
